serviceLoopAbbrv,vesselCode,vesselName,lloydsNumber,flagCountry,yearBuilt,callSign
AWE1,NDU,APL BOSTON,9597496,Singapore,2013,9V9917
AWE1,ND3,APL CHARLESTON,9597551,Singapore,2013,9V9923
AWE1,NM1,APL CHONGQING,9461867,Singapore,2011,9V9373
AWE1,NL9,APL SOUTHAMPTON,9462017,Singapore,2012,9V9399
AWE1,N3M,APL VANCOUVER,9597472,Singapore,2013,9V9915
AWE1,NL7,APL YANGSHAN,9462031,Singapore,2012,9V9401
AWE1,QWZ,CMA CGM COLUMBA,9410789,Malta,2010,9HA5028
AWE1,R2G,CMA CGM DALILA,9450624,France,2011,FLSQ
AWE1,QES,CMA CGM LA TRAVIATA,9299795,France,0,FMFT
AWE1,QZS,CMA CGM LYRA,9410806,Malta,2011,9HA4972
AWE1,N5C,CMA CGM MOZART,9280615,France,2004,FZQM
AWE1,Q7A,CMA CGM NORMA,9299812,Malta,2006,9HA5346
AWE1,QWX,CMA CGM PEGASUS,9399210,Malta,2010,9HA2126
AWE1,Q3B,CMA CGM RIGOLETTO,9299654,France,2006,FMHR
AWE1,NPT,EVER FAITH,9850525,Panama,2020,3EVZ8
AWE1,NXO,EVER FAR,9850862,Liberia,2020,D5YX3
AWE1,NZR,EVER FASHION,9850836,Liberia,2021,5LBS5
AWE1,NYZ,EVER FAST,9850874,Liberia,2021,D5ZH9
AWE1,M75,EVER FAVOR,9850850,Liberia,2022,5LDS2
AWE1,NZE,EVER FINE,9850812,Panama,2021,3ERG5
AWE1,NXP,EVER FIT,9850795,Panama,2021,3FNL4
AWE1,NQA,EVER FOCUS,9850537,Panama,2020,H9DU
AWE1,M55,EVER FOND,9850848,Liberia,2021,5LCS5
AWE1,NS2,EVER FORE,9850824,Panama,2021,3EWW7
AWE1,NXN,EVER FOREVER,9850575,Panama,2020,H3WC
AWE1,NVY,EVER FORTUNE,9850563,Singapore,2020,9V7979
AWE1,NUU,EVER FORWARD,9850551,Hong Kong,2020,9V7977
AWE1,NYQ,EVER FRANK,9850587,Hong Kong,0,9V7980
AWE1,NTH,EVER FRONT,9850549,Panama,2020,H3TM
AWE1,M74,EVER FULL,9850903,Liberia,2022,5LEA8
AWE1,NZD,EVER FUTURE,9850599,Singapore,2021,9V7978
AWE1,Q36,EVER LADEN,9595448,Panama,2012,3FXM3
AWE1,QV5,EVER LAMBENT,9595436,United Kingdom,2012,2FRE8
AWE1,QZ7,EVER LASTING,9595450,United Kingdom,2012,2FRK7
AWE1,Q96,EVER LAUREL,9595474,Singapore,2012,9V9287
AWE1,Q14,EVER LAWFUL,9595498,Singapore,2012,9V9288
AWE1,Q43,EVER LEADER,9595503,Singapore,2013,9V9289
AWE1,QZ8,EVER LEADING,9595462,United Kingdom,2012,2FRK8
AWE1,QDM,EVER LEARNED,9604108,United Kingdom,2013,2GNG3
AWE1,QCD,EVER LEGACY,9595515,Singapore,2012,9V9290
AWE1,QEV,EVER LEGION,9604110,Singapore,2013,9V9725
AWE1,QPI,EVER LENIENT,9604146,United Kingdom,2013,2HDF9
AWE1,QQJ,EVER LIBERAL,9604160,United Kingdom,2014,2HDG2
AWE1,Q13,EVER LIBRA,9595486,Taiwan,2012,BKIC
AWE1,QGL,EVER LINKING,9629043,United Kingdom,2012,2GLI9
AWE1,QQK,EVER LISSOME,9629079,United Kingdom,2013,2HDG3
AWE1,QQI,EVER LIVELY,9604134,Singapore,2013,9V9726
AWE1,QCB,EVER LIVEN,9595527,Taiwan,2013,BKIE
AWE1,QFV,EVER LIVING,9629031,Singapore,2013,9V9791
AWE1,QTY,EVER LOADING,9629081,United Kingdom,2014,2HDG4
AWE1,QCA,EVER LOGIC,9604081,Taiwan,2013,BKIF
AWE1,QJJ,EVER LOTUS,9604122,Panama,2013,3FWH8
AWE1,Q8N,EVER LOVELY,9629110,Singapore,2014,9V9793
AWE1,QLV,EVER LUCENT,9629067,Singapore,2014,9V9792
AWE1,QLR,EVER LUCID,9629055,Taiwan,2014,BKIY
AWE1,QTE,EVER LUCKY,9604172,Panama,2014,3FAE4
AWE1,Q3J,EVER LUNAR,9629093,Taiwan,2015,BKKF
AWE1,Q6K,EVER LYRIC,9629108,Taiwan,2015,BKKH
AWE1,QL5,EVER STEADY,9300439,Panama,2006,9V6386
AWE1,SU7,HANJIN BARCELONA,99999993,Panama, , 
AWE1,SS6,HANJIN BERLIN,9115743,Panama,1997,3FTF9
AWE1,SRF,HANJIN BREMERHAVEN,9312779,Panama,2006,3ECF9
AWE1,SRV,HANJIN BUDAPEST,9312937,Panama,2006,3EGJ5
AWE1,SU8,HANJIN COLOMBO,9082960,Liberia,1994,A8JT9
AWE1,QTA,HANJIN DALIAN,9999996,Panama,2011,3FOX2
AWE1,SKP,HANJIN IRENE,9021693,Panama, ,H3QD
AWE1,RSO,HANJIN LIMA,9071521,Germany,1993,DEAZ
AWE1,SH2,HANJIN MARSEILLES,9015541,South Korea,1992,DSNX9
AWE1,SMU,HANJIN MIAMI,9290476,Germany,2005,DDZE2
AWE1,REF,HANJIN MONACO,9389411,Panama,2009,3EVY5
AWE1,RD2,HANJIN MUMBAI,9347425,Panama,2007,3ENY3
AWE1,RGU,HANJIN MUNDRA,9139490,Germany,1997,DQVH
AWE1,SL7,HANJIN NAGOYA,99999996,Panama,1998,HOET
AWE1,SG9,HANJIN OSAKA,9015527,Liberia,1992,A8JT8
AWE1,SG4,HANJIN PHOENIX,9232084,Liberia,2002,A8CN9
AWE1,SU5,HANJIN PORTLAND,9021681,Liberia,1993,A8JU2
AWE1,SG3,HANJIN PRAHA,9232072,Liberia,2001,A8CP5
AWE1,ROY,HANJIN PUNTA ARENAS,9110561,Germany,1995,DEIP
AWE1,RVO,HANJIN SAN DIEGO,9141302,Germany,1997,DQVM
AWE1,SU9,HANJIN SAN FRANCISCO,9131058,South Korea, ,DSEM7
AWE1,SH1,HANJIN SHANGHAI,9088251,Panama,1995,3FPA7
AWE1,SU6,HANJIN TOKYO,99999999,Panama, , 
AWE1,SM3,HANJIN VALENCIA,99999996,Panama,1997,3FSR7
AWE1,SY0,HANJIN VANCOUVER,8820822,Cyprus,1990,P3BS8
AWE1,RVM,HANJIN VERACRUZ,9515606,Panama, ,3FCN3
AWE1,SH3,HANJIN WILMINGTON,9142473,Panama,1997,3FTD
AWE1,SK6,IBN SINA,9056088,Germany, ,DDSK
AWE1,Q09,ITAL USODIMARE,9196979,Italy,2000,IBPO
AWE1,SK8,LONDON SENATOR,9999996,Germany, ,aaaa
AWE1,STG,NAVIOS UTMOST,9302621,Liberia,2006,A8HZ5
AWE1,R9I,NORTHERN JUPITER,9466984,Portugal,2010,CQGP
AWE1,SL9,PENANG SENATOR,99999996,Germany,1997, 
AWE1,SG6,PHILADELPHIA,9232101,Liberia,2002,A8CN8
AWE1,N3G,PRESIDENT FD ROOSEVELT,9400069,Malta,2010,9HA4648
AWE1,S70,PRESIDENT WILSON,9218686,United States,2002,WDG8555
AWE1,SG7,PRETORIA,9232113,Liberia,2002,A8CP6
AWE1,SM6,PUDONG SENATOR,9141261,Germany,1997,DQVI
AWE1,NS3,SEAMAX GREENWICH,9286267,Marshall Islands,2004,V7ER3
AWE1,S6H,SEASPAN EFFICIENCY,9251365,CHINA,2003,VRML5
AWE1,S5N,SEROJA TIGA,9999996,Panama,2010,XXXXX
AWE1,126,TBN16(AWE1),9999996,Hong Kong,0,xxxxx
AWE1,138,TBN28,XXXXX,Hong Kong,0,XXXXX
AWE1,TB2,TO BE ADVISED 2(AWE1),9999996,Malaysia,0, 
AWE1,101,TO BE ADVISED(GEM),9999996,Hong Kong,0,xxxxx
AWE1,AGF,UNI-ACTIVE,9130547,Taiwan,0,BKNR
AWE1,SH5,UNI-PROMOTE,9202211,Taiwan,2000,BKJL
AWE1,ALG,VIRA BHUM,9293246,Thailand,2005,HSGG2
AWE1,SM9,YOKOHAMA SENATOR,9147095,Liberia, ,ELWD5
